"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"34";"Camping Eva Perón";"EN081";"22/2/2023";"2023";"Verano";"25.4";"25";"11.49";"9.59";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"300";"40";"60";"2.4";"0.06";"0.26";"0.1";"3.5";"<30";"60";"<0.10";"<0.005";"<0.001";"82.3";">5.00";"no se pudo calcular";""
"35";"Toma de agua Club de Pesca";"EN082";"22/2/2023";"2023";"Verano";"24.2";"25";"7.13";"8.69";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"700";"60";"40";"2.5";"<0.05";"0.81";"0.2";"11";"230";"432";"<0.10";"<0.005";"<0.001";"740.93";">5.00";"no se pudo calcular";""
"36";"Arroyo El Gato";"EN083";"22/2/2023";"2023";"Verano";"24.4";"25";"2.68";"7.82";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"22000";"5600";"2.400";"2.7";"11";"0.59";"0.17";"12";"90";"65";"<0.10";"<0.005";"<0.001";"52.69";">5.00";"no se pudo calcular";""
"37";"Ensenada Prefectura Isla Santiago";"EN084";"22/2/2023";"2023";"Verano";"22.8";"25";"6.13";"8.07";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"12000";"320";"100";"5.6";"0.11";"0.3";"0.12";"3.2";"40";"27";"<0.10";"<0.005";"<0.001";"34.02";">5.00";"no se pudo calcular";""
"38";"Balneario Palo Blanco";"BS092";"22/2/2023";"2023";"Verano";"22";"25";"6.24";"7.75";"Ausencia";"Ausencia";"Ausencia";"Presencia";"7000";"3200";"480";"3.7";"4";"0.57";"0.4";"3.8";"<30";"30";"<0.10";"<0.005";"<0.001";"53.07";">5.00";"no se pudo calcular";""
"39";"Diagonal 66 (descarga cloaca)";"BS095";"22/2/2023";"2023";"Verano";"22";"25";"5.92";"7.96";"Presencia";"Presencia";"Presencia";"Presencia";"9000";"2000";"1.000";"<2.0";"18";"1.6";"1.6";"4.8";"<30";"2.9";"<0.10";"<0.005";"<0.001";"17.42";">5.00";"no se pudo calcular";""
"40";"Playa La Bagliardi";"BS091";"22/2/2023";"2023";"Verano";"21";"25";"6.65";"7.76";"Ausencia";"Ausencia";"Ausencia";"Presencia";"4000";"500";"280";"5.6";"0.84";"0.54";"0.41";"3.3";"70";"13";"<0.10";"<0.005";"<0.001";"<0.10";">5.00";"no se pudo calcular";""
"41";"Balneario Municipal";"BS094";"22/2/2023";"2023";"Verano";"20";"24";"7.53";"8.21";"Ausencia";"Ausencia";"Ausencia";"Presencia";"700";"400";"330";"2.9";"0.51";"0.27";"0.17";"3.7";"59";"95";"<0.10";"0.008";"<0.001";"20.52";">5.00";"no se pudo calcular";""
"42";"Playa La Balandra";"BS093";"22/2/2023";"2023";"Verano";"20";"23";"5.8";"7.47";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1200";"900";"720";"3.2";"0.57";"0.79";"0.53";"3.4";"58";"17";"<0.10";"<0.005";"<0.001";"<0.10";">5.00";"no se pudo calcular";""
"1";"Canal Villanueva y Río Luján";"TI001";"10/5/2023";"2023";"otoño";"18";"12";"7.09";"7.22";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3200";"2200";"770";"3.90";"0.30";"0.16";"0.15";"<2.0";"<30";"45.00";"<0.10";"<0.005";"<1.0";"2.56";"<0.15";"39";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"10/5/2023";"2023";"otoño";"18";"12";"7.12";"7.22";"Ausencia";"Ausencia";"Ausencia";"Presencia";"300";"1100";"300";"6.70";"0.13";"0.11";"0.10";"<2.0";"<30";"60.00";"<0.10";"<0.005";"<1.0";"0.67";"<0.15";"38";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"10/5/2023";"2023";"otoño";"18";"12";"6.16";"7.33";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5.000";"3.000";"200";"4.20";"0.86";"0.21";"0.20";"<2.0";"<30";"45.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"37";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"10/5/2023";"2023";"otoño";"18";"12";"6.08";"7.32";"Ausencia";"Ausencia";"Presencia";"Ausencia";"4000";"2.900";"640";"4.80";"0.99";"0.18";"0.17";"2.00";"<30";"50.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"35";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"10/5/2023";"2023";"otoño";"18";"12";"5.85";"7.06";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2.000";"1.500";"250";"5.30";"0.49";"0.19";"0.18";"<2.0";"<30";"45.00";"<0.10";"<0.005";"<1.0";"0.35";"<0.15";"40";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"10/5/2023";"2023";"otoño";"19";"11";"5.26";"7.05";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"41.000";"20.000";"9300";"9.60";"3.00";"0.31";"0.30";"3.60";"<30";"45.00";"<0.10";"<0.005";"<1.0";"1.31";"<0.15";"35";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"10/5/2023";"2023";"otoño";"18";"15";"5.88";"7.16";"Ausencia";"Ausencia";"Ausencia";"Presencia";"4.000";"600";"930";"4.30";"0.75";"0.21";"0.20";"<2.0";"<30";"50.00";"<0.10";"<0.005";"<1.0";"1.28";"<0.15";"35";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"10/5/2023";"2023";"otoño";"19";"14";"8.09";"7.30";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"sin muestra";"sin muestra";"sin muestra";"3.10";"0.06";"0.10";"<0.10";"<2.0";"<30";"70.00";"<0.10";"<0.005";"<1.0";"0.35";"<0.15";"43";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"10/5/2023";"2023";"otoño";"18";"14";"7.82";"7.08";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"235";"220";"140";"<2.0";"0.07";"0.10";"<0.10";"<2.0";"<30";"65.00";"<0.10";"0.0051";"<1.0";"0.91";"<0.15";"40";"Extremadamente deteriorada"
"10";"Del Arca";"SF015";"10/5/2023";"2023";"otoño";"19";"20";"5.85";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5000";"1400";"300";"6.20";"0.62";"0.21";"0.20";"<2.0";"<30";"40.00";"<0.10";"<0.005";"<1.0";"2.79";"<0.15";"35";"Extremadamente deteriorada"
"11";"Espigón La Farola";"SI021";"10/5/2023";"2023";"otoño";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"12";"Reserva Ecológica";"SI022";"10/5/2023";"2023";"otoño";"18";"21";"6.32";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1.300";"600";"130";"5.30";"0.77";"0.15";"0.14";"<2.0";"<30";"23.00";"<0.10";"<0.005";"<1.0";"7.40";"<0.15";"35";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"10/5/2023";"2023";"otoño";"18";"22";"5.16";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5800";"4200";"500";"6.90";"0.94";"0.20";"0.19";"<2.0";"<30";"13.00";"<0.10";"<0.005";"<1.0";"6.40";"<0.15";"35";"Extremadamente deteriorada"
"14";"Perú Puente";"SI023";"10/5/2023";"2023";"otoño";"20";"22";"3.24";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"24.000";"19000";"5000";"20.00";"2.90";"0.43";"0.33";"3.10";"<30";"3.50";"<0.10";"<0.005";"<1.0";"1.31";"<0.15";"32";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"10/5/2023";"2023";"otoño";"18";"16";"6.60";"6.73";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3.400";"3.400";"800";"8.70";"0.93";"0.22";"0.21";"<2.0";"<30";"14.00";"<0.10";"<0.005";"<1.0";"2.72";"<0.15";"37";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"10/5/2023";"2023";"otoño";"18";"15";"5.20";"6.74";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4.200";"4.000";"100";"8.80";"1.00";"0.21";"0.20";"<2.0";"<30";"12.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"37";"Extremadamente deteriorada"
"17";"Costa y Melo";"VL031";"10/5/2023";"2023";"otoño";"17";"15";"5.57";"6.85";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"6.800";"3.700";"50";"9.30";"0.89";"0.22";"0.21";"<2.0";"<30";"14.00";"<0.10";"<0.005";"<1.0";"3.30";"<0.15";"36";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CA041";"10/5/2023";"2023";"otoño";"19";"19";"2.20";"7.50";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"200.000";"140.000";"180";"<44";"4.00";"";"0.20";"9.00";"<50";"17.00";"<0.10";"0.0055";"<1.0";"0.36";"<0.15";"33";"Extremadamente deteriorada"
"19";"Costanera Norte - Espigón Abanico";"CA044";"10/5/2023";"2023";"otoño";"18";"18";"6.20";"7.30";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"29.000";"21.000";"760";"<44";"2.00";"0.12";"0.11";"<5";"<50";"21.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"35";"Extremadamente deteriorada"
"20";"Club de Pescadores";"CA046";"10/5/2023";"2023";"otoño";"18";"18";"7.60";"7.40";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"19.000";"19.000";"5500";"<44";"0.90";"0.17";"0.16";"<5";"<50";"40.00";"<0.10";"<0.005";"<1.0";"0.87";"<0.15";"35";"Extremadamente deteriorada"
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"10/5/2023";"2023";"otoño";"18";"18";"7.60";"7.30";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4.100";"4.100";"760";"<44";"0.50";"0.16";"0.15";"7.00";"<50";"68.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"39";"Extremadamente deteriorada"
"22";"Escollera de Propaneros";"AV054";"10/5/2023";"2023";"otoño";"18";"15";"3.55";"7.08";"Ausencia";"Ausencia";"Ausencia";"Presencia";"sin muestra";"sin muestra";"sin muestra";"10.20";"1.10";"0.32";"0.31";"2.90";"<30";"45.00";"<0.10";"0.0078";"<1.0";"<0.10";"<0.15";"37";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"AV051";"10/5/2023";"2023";"otoño";"18";"15";"5.22";"7.33";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"sin muestra";"sin muestra";"sin muestra";"5.80";"0.73";"0.25";"0.24";"<2.0";"<30";"50.00";"<0.10";"<0.005";"<1.0";"5.52";"<0.15";"40";"Extremadamente deteriorada"
"24";"Arroyo Sarandí";"AV052";"10/5/2023";"2023";"otoño";"19";"15";"5.24";"7.48";"Ausencia";"Ausencia";"Ausencia";"Presencia";"sin muestra";"sin muestra";"sin muestra";"8.50";"0.52";"0.25";"0.24";"4.20";"<30";"37.00";"<0.10";"<0.005";"<1.0";"2.61";"<0.15";"39";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"AV055";"10/5/2023";"2023";"otoño";"19";"15";"4.45";"7.48";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"sin muestra";"sin muestra";"sin muestra";"8.90";"0.44";"0.26";"0.25";"4.10";"<30";"32.00";"<0.10";"<0.005";"<1.0";"1.81";"<0.15";"41";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"AV053";"10/5/2023";"2023";"otoño";"18";"15";"3.22";"7.52";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5000";"2500";"80";"15.20";"2.90";"0.57";"0.56";"3.80";"<30";"11.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"35";"Extremadamente deteriorada"
"27";"Espora 400 m";"QU061";"10/5/2023";"2023";"otoño";"17";"23";"N/R";"7.15";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2000";"350";"40";"3.00";"0.33";"0.15";"0.14";"<2.0";"<30";"60.00";"<0.10";"<0.005";"<1.0";"3.45";"<0.15";"38";"Extremadamente deteriorada"
"28";"Náutico 400 m";"QU062";"10/5/2023";"2023";"otoño";"17";"23";"5.70";"7.04";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3.000";"840";"88";"2.70";"0.22";"0.14";"0.13";"<2.0";"<30";"70.00";"<0.10";"<0.005";"<1.0";"17.13";"<0.15";"37";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"QU063";"10/5/2023";"2023";"otoño";"17";"23";"N/R";"6.75";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2.000";"400";"60";"10.00";"0.78";"0.30";"0.29";"<2.0";"<30";"17.00";"<0.10";"<0.005";"<1.0";"1.20";"<0.15";"36";"Extremadamente deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"BZ078";"10/5/2023";"2023";"otoño";"sin equipo";"12";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"178.000";"170000";"9000";"6.30";"16.00";"1.20";"1.20";"24.00";"41.00";"12.00";"<0.10";"<0.005";"<1.0";"5.91";"<0.15";"28";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"BZ077";"10/5/2023";"2023";"otoño";"sin equipo";"14";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2.000";"2000";"7600";"16.70";"2.10";"0.43";"0.42";"7.90";"<30";"23.00";"<0.10";"0.0076";"<1.0";"126.75";"<0.15";"31";"Extremadamente deteriorada"
"32";"Costanera Hudson Calle 63";"BZ080";"10/5/2023";"2023";"otoño";"sin equipo";"13";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1.000";"900";"500";"4.20";"0.30";"0.39";"0.13";"5.20";"36.00";"22.00";"<0.10";"<0.005";"<1.0";"120.95";"<0.15";"34";"Extremadamente deteriorada"
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-adic";"10/5/2023";"2023";"otoño";"sin equipo";"11";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"sin muestra";"sin muestra";"sin muestra";"7.00";"0.09";"0.27";"0.15";"3.00";"<30";"20.00";"sin muestra";"<0.005";"<1.0";"94.81";"<0.15";"37";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"EN081";"10/5/2023";"2023";"otoño";"17";"15";"12.62";"9.38";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"700";"130";"15";"6.10";"0.09";"0.23";"0.18";"3.20";"<30";"27.00";"<0.10";"<0.005";"<1.0";"152.11";"<0.15";"36";"Extremadamente deteriorada"
